,,,,Engine Oil Data 2024-26,,,,,,
,,,Reading,,Oil,,,,,
,Date,Car,Now,Next,Type,Price,Tuning,Tyre,Disc / Suspension,Other
1,19-12-2024,6863,112458,117458,Kixx 5W 30,10700,,,,
2,11-12-2024,1853,174705,180000,Shell OW 20,11050,,,,
3,23-12-2024,1853,176781,186000,,,2000,,,
4,08-10-2024,1853,167215,217215,,,,57000,,
5,03-10-2024,6863,105363,145363,Gear Oil,16500,1800,,,
6,23-05-2024,1853,158500,198500,Gear Oil,19000,,,,201500 suggested
7,17-01-2025,6863,115443,155443,Disc Pad Front,7200,,,Front Disc 40000,
8,18-01-2025,1853,180210,185210,Shell OW 20,8000,,,,
9,18-02-2025,6863,118500,123500,Mobile 5W 30,9000,,,,
10,01-03-2025,6863,120302,,Disc Pad Back,7200,1800,,Back Disc 80000 + Tawa 20000,
11,11-03-2025,1853,186181,192000,Shell OW 20,10650,1800,,,Oil Change and Tuning
12,03-04-2025,1853,187365,,,17400,,0,Suspension,Wheel Alignment
13,10-04-2025,6863,124664,129700,Kixx 5W 30,10300,,,,
14,18-04-2025,6863,126378,176378,,,,54000,,Wheel Alignment
15,28-04-2025,1853,192391,197400,Shell OW 20,11000,,,,
16,10-05-2025,6863,130481,135481,Mobile 5W 30,9000,,,,
17,18-06-2025,1853,198850,204000,Shell OW 20,11150,,,,
18,26-06-2025,6863,136880,141880,Kixx 5W 30,11500,,,,4 Litre Oil + Air Filter + Oil Filter
19,30-06-2025,1853,201000,241000,Gear Oil,12500,,,5400,Gear Oil and Tuning and Repair work
20,30-07-2025,1853,205032,210032,Shell OW 20,11300,,,,Oil + Air Filter + Oil Filter + Cabin
21,24-08-2025,6863,138896,,,,1800,,,Tuning
22,14-09-2025,1853,211000,216000,Shell OW 20,10500,1800,,,Oil + Air Filter + Oil Filter + Cabin + Tuning
23,22-09-2025,6863,140786,,,17500,,,Suspension,Wheel Alignment
24,27-09-2025,6863,141900,147000,Kixx 5W30,8750,,,,2.8 Liter oil + Air + Oil + Cabin Filter
25,01-10-2025,1853,212539,,,11500,,,Front and Back Disc,40000 and 80000
23,15-10-2025,1853,213300,,,17500,,,,Goday and Taway repair
24,06-11-2025,6863,146700,186700,Gear Oil,13900,1800,,,Gear Oil and Tuning
25,10-11-2025,6863,148164,153164,Kixx 5W 30,10495,,,,Oil + Air Filter + Oil Filter + Cabin
26,22-11-2025,1853,217111,222111,Toyota OW 20,10000,,,,Fan Belt - 217864
27,13-12-2025,6863,154030,160000,Kixx 5W 30,10500,,,,Oil + Air Filter + Oil Filter + Cabin
28,13-12-2025,1853,220845,230845,,,1800,2700,,4 Plugs 20000 recommended + Tuning
29,20-12-2025,6863,155488,165500,,,1800,,,Tuning
30,22-12-2025,1853,222200,228200,Toyota OW 20,10000,,,,
31,30-12-2025,6863,157014,177014,,1000,,,Front Disc Service,6863
32,07-01-2026,6863,158326,,,4500,,,Back Disc ,service should be after 10.000
33,16-01-2026,6863,160238,166000,Kixx 5W 30,10590,,,,
34,07-02-2026,1853,228270,234270,Toyota OW 20,10000,,,,
35,05-03-2026,1853,233614,283614,,,,67000,,Tire replacement
36,10.03.2026,1853,234400,239400,Toyota OW 20,10000,1800,,,234510 Tuning reading
37,12.03.2026,6863,165000,170000,Kixx 5W 30,10500,,,,
38,29.03.2026,6863,166541,,Mitsubishi,2350,1800,,,Fan Belt Mitsubishi + Tuning
39,09.05.2026,6863,169359,,Deawoo 65 L,11500,,,,6863 Battery
40,10.05.2026,1853,239865,244865,Toyota OW 20,10000,,,,
41,02.06.2026,6863,170889,175889,Kixx 5W 30,12750,,,,Oil and filter
42,23.06.2026,1853,244700,284700,AT Fluid WS,15000,1800,,,Tuning and Gear Oil
